subject,predicate,object,confidence,source,correctness,relevance,well_formedness,normalized_score,rationale,error,document_id,section
dementia-related,occurs_in,"canada,_chile",0.5110390931367874,span,3,2,1,0.25,"Dementia occurs in populations in Canada and Chile is plausible, but 'dementia-related' as subject and the comma-separated country tokenization make this structurally ill-formed.",,11_-_PIIS2666606524001007_9MNVWIN_5,introduction
nervousness,occurs_in,adults,0.5924383312463761,span,5,3,5,0.8333333333333333,Nervousness is a plausible symptom that occurs in adults.,,28_-_igae025_TAsiO8F_15,discussion and implications
mendelian_randomizations,is_a,statistical_technique,0.25,copular,5,4,4,0.8333333333333333,"Mendelian randomization is correctly characterized as a statistical/epidemiological technique and is a clear, meaningful triple.",,119_-_migraine-association-with-alzheimers-disease-risk-evidence-from-the-uk-b_2M4H5sv_70,discussion
transcription_factors,among,expressed_ad,0.25,prep,3,3,2,0.41666666666666663,"It is plausible that transcription factors are among genes expressed in AD, but the object and predicate are awkwardly phrased.",,37_-_ENEURO_8cwR40c,dysregulated aud gsea in ad stages
caps_or_band,part_of,cerebral_white_matter_hyperintensities,0.5494601726531982,span,5,4,5,0.9166666666666667,"Caps or bands are recognized subtypes/locations of cerebral white matter hyperintensities, so this is correct and well formed.",,32_-_fcae213_xz1udej_19,study populations
causal_inferences,augment,understanding,0.15000000000000002,pos,3,2,1,0.25,"It is plausible that causal inferences augment understanding, but the terms are generic and the predicate is not an allowed relation, making the triple poorly formed.",,31_-_zpae077_ruWgbRL_18,discussion
hypothalamic-­,part_of,hypothalamic,0.675286266207695,span,1,1,1,0.0,Malformed subject and nonsensical claim that 'hypothalamic-' is part of 'hypothalamic' makes this incorrect and ill-formed.,,113_-_CNS-30-e70057_hB8kVVH_66,4 | discussion
aerobic_exercise,affects,total_brain_volume,0.5129454761743546,span,4,4,5,0.8333333333333333,"Aerobic exercise has been reported to affect brain volumes including global or regional measures, making this plausible and well-formed.",,52_-_aerobic_exercise_training_for_the_aging_brain__vLXJT2d,gray matter volume
concentrations,measured_by,modular_p_chemistry_analyzer,0.45824557840824126,span,3,2,3,0.41666666666666663,"A modular chemistry analyzer measures various analyte concentrations, but the subject 'concentrations' is too generic.",,109_-_s12889-024-18478-x_YODN5MZ_64,"plasma fatty acids, lipids, and systemic inflammatory variables"
cognition,promote,neuroplasticity,0.2,pos,4,3,3,0.5833333333333334,"Cognitive activity promoting neuroplasticity is plausible (cognitive stimulation drives plasticity), but the direction and entity classification are somewhat generic.",,14_-_fnagi-16-1381692_Pus0J7i_8,discussion
bont,occurs_in,tanycytes,0.6128646016120911,span,2,3,3,0.41666666666666663,"BoNT can be experimentally expressed or applied to tanycytes, so presence is possible, but the statement as written is ambiguous and not universally true.",,46_-_1-s2_FReAaUm,original article
