subject,predicate,object,confidence
smoking,risk_factor_of,dementia,1.0
prevention_strategies,prevents,dementia,1.0
white_matter,part_of,brain,1.0
physical_activity,improves,cognitive_function,1.0
incident_dementia,occurs_in,older_adults,1.0
dementia_prevention_programs,prevents,dementia,1.0
prevention_efforts,prevents,dementia,1.0
blood_pressure,measured_by,automated_sphygmomanometer,1.0
diabetes_mellitus,treated_by,insulin,1.0
alcohol_use,risk_factor_of,dementia,1.0
overall_cognitive_function,occurs_in,midlife,1.0
cognitive_function,occurs_in,midlife,1.0
cerebral_changes,occurs_in,early_life,1.0
social_isolation,risk_factor_of,alzheimer_s_disease,1.0
clinical_trials,occurs_in,older_adults,1.0
estudo_longitudinal_de_saude_do_adulto,occurs_in,brazilian,1.0
walking,occurs_in,leisure_time,1.0
moderate_to_vigorous_physical_activity,occurs_in,leisure_time,1.0
physical_activity,improves,sleep_quality,1.0
insulin_resistance,measured_by,triglyceride_glucose_index,1.0
blood_vessels,part_of,brain,1.0
uk_biobank,predicts,cognitive_decline,1.0
uk_biobank,predicts,dementia,1.0
ukb,predicts,cognitive_decline,1.0
pathology,occurs_in,brain,1.0
biomarkers,associated_with,incident_dementia,1.0
biomarkers,associated_with,dementia,1.0
performance,occurs_in,testing_dataset,1.0
mmse,associated_with,dementia,1.0
biomarkers,measured_by,pet,1.0
blood_pressure,occurs_in,right_upper_arm,1.0
blood_pressure,occurs_in,upper_arm,1.0
blood_pressure,measured_by,mercury_sphygmomanometer,1.0
cognitive_impairment,affects,middle_aged,1.0
cognitive_impairment,affects,elderly,1.0
female_sex,risk_factor_of,cognitive_impairment,1.0
elderly_age,risk_factor_of,cognitive_impairment,1.0
family_history,risk_factor_of,cognitive_impairment,1.0
low_educational_status,risk_factor_of,cognitive_impairment,1.0
current_smoking_status,risk_factor_of,cognitive_impairment,1.0
exercise,prevents,cognitive_impairment,1.0
cognitive_impairment,affects,higher_intellectual_processing,1.0
cognitive_impairment,affects,learning,1.0
cognitive_impairment,affects,thinking,1.0
mild_cognitive_impairment,part_of,cognitive_impairment,1.0
dementia,part_of,cognitive_impairment,1.0
low_literacy,risk_factor_of,cognitive_impairment,1.0
sleep_disturbance,risk_factor_of,cognitive_impairment,1.0
dementia,occurs_in,chongqing_city,1.0
older_age,risk_factor_of,cognitive_impairment,1.0
diabetes_mellitus,risk_factor_of,cognitive_impairment,1.0
literacy,risk_factor_of,dementia,1.0
smoking,associated_with,cardiovascular_diseases,1.0
metformin,improves,cognitive_decline,1.0
metformin,prevents,dementia,1.0
estimates,extract_from,lancet_commission_report,1.0
report,utilize,systematic_review,1.0
systematic_review,part_of,report,1.0
efforts,prevents,smoking,1.0
physical_inactivity,risk_factor_of,modifiable_dementia_risk,1.0
diabetes_mellitus,risk_factor_of,modifiable_dementia_risk,1.0
social_isolation,risk_factor_of,modifiable_dementia_risk,1.0
obesity,risk_factor_of,modifiable_dementia_risk,1.0
psychosocial_factors,associated_with,sex_roles,1.0
tbi,occurs_in,age_range,1.0
low_education_levels,occurs_in,adults,1.0
initiatives,prevents,dementia,1.0
social_isolation,affects,females,1.0
depression,treated_by,collective_level_interventions,1.0
cross_sectional_investigation,occurs_in,pinghu,1.0
investigation,occurs_in,pinghu,1.0
hypertension,occurs_in,adults,1.0
management,improves,cardiovascular_health,1.0
random_forest,prevents,overfitting,1.0
random_forest,predicts,classes,1.0
estrogen,improves,endotheliumdependent_vasodilation,1.0
estrogen,prevents,hypertension,1.0
hypertension,occurs_in,age_groups,1.0
hypertension_prevention,prevents,hypertension,1.0
physical_exercise,prevents,neuroinflammation,1.0
physical_exercise,prevents,oxidative_stress,1.0
hypertension,treated_by,antihypertensive_drugs,1.0
drinking,risk_factor_of,dementia,1.0
sub_ventricular_zone,part_of,brain,1.0
brief_screening_question,regard,memory,1.0
second_research_visit,perform_after,first_visit,1.0
research_assistant,perform,second_research_visit,1.0
second_visit,perform_at,gp_clinics,1.0
visits,perform_at,danish_dementia_research_centre,1.0
subgroup,complete,basic_q,1.0
subgroup,complete_at,first_research_visit,1.0
different_healthcare_professionals,administer,basic_q,1.0
research_assistant,administer,basic_q,1.0
dementia,treated_by,primary_care,1.0
dementia,treated_by,general_practitioner,1.0
dementia,treated_by,community_health_care,1.0
recruitment,occurs_in,clinics,1.0
identification,measured_by,multiple_cognitive_tests,1.0
identification,measured_by,cognitive_tests,1.0
cognitive_impairment,occurs_in,primary_care,1.0
cognitive_impairment,measured_by,multiple_cognitive_tests,1.0
bachelor_s_or_equivalent_level,part_of,danish_classification_system,1.0
bachelor_s_or_equivalent_level,part_of,danish_classification_system_of_educational_level,1.0
visits,occurs_in,home,1.0
basicq,predicts,cognitive_impairment,1.0
lrs,associated_with,basic_q_scores,1.0
lrs,associated_with,basic_q,1.0
basic_q,occurs_in,primary_care_setting,1.0
cognitive_impairment,occurs_in,persons,1.0
cognitive_impairment,treated_by,healthcare_professionals,1.0
diet,improves,cognition,1.0
demographic,measured_by,standard_deviation,1.0
tobacco_control,prevents,smoking,1.0
diabetes,treated_by,better_management,1.0
programs,prevents,non_communicable_diseases,1.0
acid,occurs_in,stomach,1.0
danish_hospitals,gives,diagnoses,1.0
diabetes_mellitus,treated_by,current_oral_antidiabetic_agents,1.0
