subject,predicate,object,confidence,source,section,correctness,relevance,well_formedness,normalized_score,rationale,error
hypertension,treated_by,antihypertensive_drugs,0.8367258369922639,span,screening interview,5,5,5,1.0,"Accurate, relevant, and well-formed: antihypertensive drugs are standard treatments for hypertension.",
laxatives,improves,constipation,0.8244794070720673,span,discussion,5,5,5,1.0,"Laxatives are a drug class that plausibly and commonly improve constipation, so the claim is accurate, informative, and structurally well-formed.",
crf,measured_by,peak_oxygen_consumption,0.8195095866918565,span,independent variable,5,5,5,1.0,"Cardiorespiratory fitness (CRF) is appropriately measured by peak oxygen consumption (VO2 peak), so this is accurate and well structured.",
aerobic_exercise,improves,cardiovascular_function,0.8113440483808518,span,introduction,5,5,5,1.0,"Aerobic exercise improving cardiovascular function is well-supported, specific, and well-structured.",
atrx,associated_with,intellectual_disability,0.8089750766754151,span,discussion,5,5,5,1.0,"Pathogenic ATRX variants cause ATR-X syndrome, which includes intellectual disability, so this is a well-established gene–phenotype association.",
inflammatory_responses,occurs_in,microglia,0.8000169456005097,span,pathway analysis by gsea in various ad stages,5,5,5,1.0,"Microglia are primary effectors of inflammatory responses in the brain, so this is accurate and informative.",
aging,risk_factor_of,dementia,0.7906820535659791,span,3.2 feature selection for model construction,5,5,5,1.0,Age is a well-established risk factor for dementia and the triple fits the schema.,
physical_activity,improves,cognitive_function,0.7896622329950334,span,discussion,5,5,5,1.0,Physical activity improving cognitive function is well-supported and the triple is well-formed.,
obesity,risk_factor_of,dementia,0.787404215335846,span,introduction,5,5,5,1.0,Obesity is plausibly associated with increased dementia risk and the triple is informative and well-formed.,
obesity,risk_factor_of,dementia,0.7841042935848237,span,2.1 dataset,5,5,5,1.0,"Midlife obesity is a well-supported risk factor for later-life dementia, so the claim is accurate, informative, and well-formed.",
composite_risk_score,predicts,cognitive_decline,0.7839528799057007,span,results,5,5,5,1.0,Composite risk scores predicting cognitive decline is a common and well‑formed claim that is plausible.,
